source	id	datetime	dC_ch4_emis[kgCha-1]	dC_co2_emis_auto[kgCha-1]	dC_co2_emis_hetero[kgCha-1]	dC_doc_leach[kgCha-1]	dN_don_leach[kgNha-1]	dN_no3_leach[kgNha-1]	dN_nh4_leach[kgNha-1]	dN_no_emis[kgNha-1]	dN_n2o_emis[kgNha-1]	dN_n2_emis[kgNha-1]	dN_nh3_emis[kgNha-1]	dN_n2_fix[kgNha-1]	dC_co2_fix[kgCha-1]	dS_so4_leach[kgSha-1]	dC_litter[kgCha-1]	dN_litter[kgNha-1]	dN_dep[kgNha-1]	dN_up_floor[kgNha-1]	dN_up_min[kgNha-1]	dN_mineral_floor[kgNha-1]	dN_mineral_min[kgNha-1]	dN_nitrify_floor[kgNha-1]	dN_nitrify_min[kgNha-1]	dN_denitrify_floor[kgNha-1]	dN_denitrify_min[kgNha-1]	dN_chemo_floor[kgNha-1]	dN_chemo_min[kgNha-1]	C_plants_floor[kgCha-1]	C_plants_min[kgCha-1]	C_soil_floor[kgCha-1]	C_soil_min[kgCha-1]	C_aorg_floor[kgCha-1]	C_aorg_min[kgCha-1]	C_litter_raw[kgCha-1]	C_litter_floor[kgCha-1]	C_litter_min[kgCha-1]	C_mic_floor[kgCha-1]	C_mic_min[kgCha-1]	C_sol_floor[kgCha-1]	C_sol_min[kgCha-1]	C_wood_above[kgCha-1]	C_wood_below[kgCha-1]	N_plants_floor[kgNha-1]	N_plants_min[kgNha-1]	N_soil_floor[kgNha-1]	N_soil_min[kgNha-1]	N_aorg_floor[kgNha-1]	N_aorg_min[kgNha-1]	N_litter_raw[kgNha-1]	N_litter_floor[kgNha-1]	N_litter_min[kgNha-1]	N_mic_floor[kgNha-1]	N_mic_min[kgNha-1]	N_sol_floor[kgNha-1]	N_sol_min[kgNha-1]	N_wood_above[kgNha-1]	N_wood_below[kgNha-1]	anvf_mean[-]
setup	0	2007-01-01 23:00:00	-0.000566429	0	38.6532	4.0979e-05	0	0.000631066	8.27639e-06	0.00130905	0.0592575	1.6054	4.3448e-05	0	0	0	0	0	0.0042	0	0	-0	3.08666	-0	2.36216	-0	2.27404	-0	0.00010761	0	0	0	51754.1	0	271.325	0	0	1292.41	0	47.4753	0	36.3049	0	0	0	0	0	5421.26	0	33.1248	0	0	29.7547	0	3.76362	0	3.66592	0	0	0.630558
setup	0	2007-01-02 23:00:00	-0.000507297	0	38.6177	0.00013498	0	0.000626024	1.00278e-05	0.00288044	0.052327	1.02134	2.96672e-05	0	0	0	0	0	0.0066	0	0	-0	3.01101	-0	2.71686	-0	1.0179	-0	8.76732e-05	0	0	0	51714.9	0	283.967	0	0	1220.36	0	54.5278	0	40.0154	0	0	0	0	0	5420.28	0	32.5716	0	0	27.9612	0	3.9427	0	3.04189	0	0	0.69333
setup	0	2007-01-03 23:00:00	-0.000445256	0	37.8736	0.000243503	1.29083e-14	0.000604616	1.02591e-05	0.00178994	0.0191986	0.61559	2.30201e-05	0	0	0	0	0	0.0084	0	0	-0	2.24786	-0	2.05659	-0	0.594319	-0	7.84098e-05	0	0	0	51675.6	0	295.521	0	0	1157.56	0	55.2905	0	40.4753	0	0	0	0	0	5419.71	0	32.9166	0	0	26.4071	0	3.62849	0	2.65958	0	0	0.725713
setup	0	2007-01-04 23:00:00	-0.000385997	0	39.9651	0.000336643	7.51265e-12	0.000561546	1.04148e-05	0.00111986	0.0184383	0.64958	2.1263e-05	0	0	0	0	0	0.0192	0	0	-0	1.9085	-0	1.73504	-0	0.650321	-0	6.98507e-05	0	0	0	51633.6	0	301.724	0	0	1102.65	0	58.6569	0	32.9933	0	0	0	0	0	5419.12	0	33.0432	0	0	25.0562	0	3.51632	0	2.36344	0	0	0.746037
setup	0	2007-01-05 23:00:00	-0.000478147	0	44.5774	0.00040688	2.20893e-11	0.00049596	1.05162e-05	0.000944201	0.00855113	0.324956	1.76379e-05	0	0	0	0	0	0	0	0	-0	1.76428	-0	1.60561	-0	0.297238	-0	6.03203e-05	0	0	0	51586.3	0	308.506	0	0	1050.35	0	60.6353	0	20.2075	0	0	0	0	0	5418.84	0	33.5212	0	0	23.7746	0	3.35917	0	2.17281	0	0	0.755568
setup	0	2007-01-06 23:00:00	-0.000474792	0	44.7903	0.000453766	2.7527e-11	0.000410238	1.05268e-05	0.000905205	0.0097549	0.323908	1.49943e-05	0	0	0	0	0	0	0	0	-0	1.6901	-0	1.53568	-0	0.31673	-0	5.54455e-05	0	0	0	51540	0	313.344	0	0	1002.26	0	63.9671	0	6.79031	0	0	0	0	0	5418.54	0	33.8039	0	0	22.601	0	3.35414	0	2.01832	0	0	0.756812
setup	0	2007-01-07 23:00:00	-0.000413187	0	37.8491	0.000481244	1.50078e-10	0.000309998	1.04662e-05	0.000900383	0.0160197	0.43957	1.75276e-05	0	0	0	0	0	0.0084	0	0	-0	1.5851	-0	1.43289	-0	0.451109	-0	5.20152e-05	0	0	0	51505.7	0	317.37	0	0	958.677	0	65.7209	0	4.61926	0	0	0	0	0	5418.13	0	33.8652	0	0	21.5425	0	3.44157	0	1.89251	0	0	0.759072
setup	0	2007-01-08 23:00:00	-0.000467611	0	33.6732	0.000494625	5.51047e-10	0.000202529	1.03668e-05	0.000920197	0.0159424	0.415132	1.34068e-05	0	0	0	0	0	0	0	0	-0	1.52721	-0	1.36882	-0	0.428781	-0	4.81755e-05	0	0	0	51473.4	0	321.938	0	0	917.435	0	66.6462	0	3.41078	0	0	0	0	0	5417.72	0	33.973	0	0	20.5443	0	3.50227	0	1.77952	0	0	0.756177
setup	0	2007-01-09 23:00:00	-0.00047483	0	30.8797	0.00049797	1.26857e-09	0.000571577	1.01596e-05	0.000929756	0.0152162	0.390114	1.23839e-05	0	0	0	0	0	0	0	0	-0	1.46719	-0	1.31398	-0	0.405854	-0	4.51396e-05	0	0	0	51443	0	326.235	0	0	878.859	0	67.0432	0	2.79991	0	0	0	0	0	5417.34	0	34.0833	0	0	19.6141	0	3.54981	0	1.68429	0	0	0.751797
setup	0	2007-01-10 23:00:00	-0.000478708	0	28.1571	0.000494063	2.15689e-09	0.000874331	9.71269e-06	0.000929789	0.0151386	0.369328	1.12009e-05	0	0	0	0	0	0	0	0	-0	1.39398	-0	1.24864	-0	0.384737	-0	4.25916e-05	0	0	0	51415.1	0	330.135	0	0	843.138	0	67.4757	0	2.44223	0	0	0	0	0	5416.97	0	34.1711	0	0	18.7563	0	3.60241	0	1.60291	0	0	0.747697
